,,,relevance_score,relevance_score,correctness_score,correctness_score,fluency_score,fluency_score,coherence_score,coherence_score,overall_score,overall_score
,,,mean,std,mean,std,mean,std,mean,std,mean,std
scenario_id,vendor,model,,,,,,,,,,
1-1_case.md,Anthropic,claude-3-opus-20240229,4.232558139534884,0.5705974021574557,4.162790697674419,0.5744659034243204,4.27906976744186,0.701209207126852,4.209302325581396,0.7418811204628577,4.22093023255814,0.509461966212014
1-1_case.md,GROK,grok-3-mini,4.166666666666667,0.8239306940622411,4.0,0.8263938705413374,3.7857142857142856,0.9508844223505764,3.8333333333333335,0.9606061771830724,3.9464285714285716,0.7581582994128871
1-1_case.md,Google,gemini-1.5-pro,3.8292682926829267,0.9193051458680693,3.6097560975609757,1.069533748427038,3.902439024390244,0.768273325346536,3.6097560975609757,1.0217154393589198,3.7378048780487805,0.8233908919678488
1-1_case.md,OpenAI,gpt-4.1-nano,4.095238095238095,0.8499504665488026,4.142857142857143,0.7830966850386145,4.214285714285714,0.7819835406450197,4.142857142857143,0.7830966850386143,4.148809523809524,0.6604218990805298
2-2_case.md,Anthropic,claude-3-opus-20240229,4.219512195121951,0.7909549646456246,4.121951219512195,0.8998644884431073,4.097560975609756,0.8603742804378943,4.121951219512195,0.842470235415457,4.140243902439025,0.7181764678854289
2-2_case.md,GROK,grok-3-mini,4.404761904761905,0.6270147549329287,4.095238095238095,0.7261500150568165,4.095238095238095,0.8781778199154231,4.142857142857143,0.8430903828939236,4.184523809523809,0.6272751851905711
2-2_case.md,Google,gemini-1.5-pro,3.9047619047619047,0.9055256877616907,3.7857142857142856,0.8705399021609265,3.6904761904761907,0.9236221178016745,3.6904761904761907,0.8692047174760931,3.767857142857143,0.724974467891164
2-2_case.md,OpenAI,gpt-4.1-nano,4.214285714285714,0.7168941917953899,4.0476190476190474,0.8249872416568828,4.119047619047619,0.7715167498104596,4.095238095238095,0.8207528908152865,4.119047619047619,0.6631367056347028
3-3_case.md,Anthropic,claude-3-opus-20240229,3.951219512195122,0.773020682523926,3.8780487804878048,0.7139720565687256,4.0,0.7745966692414833,3.8536585365853657,0.7924952873599974,3.9207317073170733,0.6160332387294635
3-3_case.md,GROK,grok-3-mini,4.238095238095238,0.790477589800477,4.142857142857143,0.7830966850386145,4.190476190476191,0.8333914033193508,4.0476190476190474,0.8821365679453426,4.154761904761905,0.7155766499320606
3-3_case.md,Google,gemini-1.5-pro,4.0,0.8660254037844386,3.7804878048780486,0.9086307039152711,3.926829268292683,0.8772184420781127,3.731707317073171,0.9226155820248875,3.8597560975609757,0.7946083557479058
3-3_case.md,OpenAI,gpt-4.1-nano,3.880952380952381,0.7715167498104596,3.5952380952380953,0.8281487968552925,3.6904761904761907,0.7485952776121302,3.6666666666666665,0.7860573635949151,3.7083333333333335,0.6760643520627908
4-4_case.md,Anthropic,claude-3-opus-20240229,4.142857142857143,0.7513054840167138,3.9047619047619047,0.7904775898004769,4.166666666666667,0.908406985900329,4.0,0.9106416928094861,4.053571428571429,0.7189417067470412
4-4_case.md,GROK,grok-3-mini,4.146341463414634,0.9099718569757006,4.195121951219512,0.8723391598203635,4.0,0.8944271909999157,4.024390243902439,0.8799944567452903,4.091463414634147,0.7959979930113195
4-4_case.md,Google,gemini-1.5-pro,4.0,0.8553989227683017,3.857142857142857,1.0017406453556186,4.142857142857143,0.813646671426452,4.0,0.8553989227683017,4.0,0.7630970273633174
4-4_case.md,OpenAI,gpt-4.1-nano,4.024390243902439,0.7241479433806597,4.048780487804878,0.7730206825239258,4.0,0.7416198487095663,4.048780487804878,0.8047117344799665,4.030487804878049,0.5947560475502213
5-5_case.md,Anthropic,claude-3-opus-20240229,4.136363636363637,0.7342425013168046,4.090909090909091,0.7414060124279209,4.090909090909091,0.7721363242143496,4.090909090909091,0.7721363242143496,4.1022727272727275,0.6386718181757544
5-5_case.md,GROK,grok-3-mini,4.170731707317073,0.7383237441796872,4.146341463414634,0.6542543698652725,4.0,0.8660254037844386,3.975609756097561,0.7241479433806597,4.073170731707317,0.6404195461741866
5-5_case.md,Google,gemini-1.5-pro,3.8372093023255816,0.7537282748393874,3.7674418604651163,0.8684197279658412,3.6744186046511627,1.0401678031419954,3.883720930232558,0.9311872177771209,3.7906976744186047,0.7675142168648741
5-5_case.md,OpenAI,gpt-4.1-nano,4.116279069767442,0.66222217267324,4.023255813953488,0.7067151407349108,3.953488372093023,0.8716019289105664,4.116279069767442,0.6972497784862421,4.0523255813953485,0.6536485046746031
