,PC1,PC2,vendor,model,overall_score
0,1.8460149767934058,-0.802285709238529,Google,gemini-1.5-pro,4.75
1,-1.1349619810890201,-1.6034772119082785,Anthropic,claude-3-opus-20240229,3.5
2,-2.5249647765591723,0.3842364646315628,Google,gemini-1.5-pro,3.0
3,-0.01386128041376598,0.02657890473671703,OpenAI,gpt-4.1-nano,4.0
4,1.8460149767934058,-0.802285709238529,GROK,grok-3-mini,4.75
5,-0.01386128041376598,0.02657890473671703,GROK,grok-3-mini,4.0
6,0.5461615161989741,-0.13465155616286084,GROK,grok-3-mini,4.25
7,-1.8737375376209378,0.8554435187119631,GROK,grok-3-mini,3.25
8,-1.8294358250992093,0.3666381455837179,OpenAI,gpt-4.1-nano,3.25
9,-1.1787361398858616,-0.1384133195579575,Google,gemini-1.5-pro,3.5
10,-0.6187133432731216,-0.2996437804575355,OpenAI,gpt-4.1-nano,3.75
11,-0.6207868068302724,-0.9334335224719285,Anthropic,claude-3-opus-20240229,3.75
12,-4.204014810290016,-0.4507994490994617,Google,gemini-1.5-pro,2.25
13,-1.1787361398858616,-0.1384133195579575,OpenAI,gpt-4.1-nano,3.5
14,-0.5744116307513932,-0.7884491535857807,Anthropic,claude-3-opus-20240229,3.75
15,-1.2251113159647409,-0.2833976884441054,GROK,grok-3-mini,3.5
16,-3.6893120823063805,1.195502759558964,OpenAI,gpt-4.1-nano,2.5
17,-1.22303785240759,0.3503920535702877,Anthropic,claude-3-opus-20240229,3.5
18,-2.3884402656045727,-0.7908586899464626,Google,gemini-1.5-pro,3.0
19,-2.4342878879585648,0.04041546038946541,GROK,grok-3-mini,3.0
20,-1.2694130284864693,0.2054076846841399,GROK,grok-3-mini,3.5
21,-0.6181857895482346,0.6766147387645403,Google,gemini-1.5-pro,3.75
22,-1.7835882027452172,-0.46463600475221006,Anthropic,claude-3-opus-20240229,3.25
23,-1.2694130284864693,0.2054076846841399,OpenAI,gpt-4.1-nano,3.5
24,-0.6187133432731216,-0.2996437804575355,GROK,grok-3-mini,3.75
25,-2.4342878879585648,0.04041546038946541,OpenAI,gpt-4.1-nano,3.0
26,-1.1787361398858616,-0.1384133195579575,Google,gemini-1.5-pro,3.5
27,-1.8294358250992093,0.3666381455837179,Anthropic,claude-3-opus-20240229,3.25
28,-0.6187133432731216,-0.2996437804575355,Google,gemini-1.5-pro,3.75
29,2.4065653271310334,0.01274234908396873,OpenAI,gpt-4.1-nano,5.0
30,2.4065653271310334,0.01274234908396873,Anthropic,claude-3-opus-20240229,5.0
31,2.4065653271310334,0.01274234908396873,GROK,grok-3-mini,5.0
32,2.4065653271310334,0.01274234908396873,GROK,grok-3-mini,5.0
33,2.4065653271310334,0.01274234908396873,OpenAI,gpt-4.1-nano,5.0
